AAA,,Avicon Aviation Consultants & Agents - Pakistan,
AAB,,Abelag Aviation NV t/a Luxaviation Belgium - Belgium,ABG
AAC,,Army Air Corps - United Kingdom,Armyair
AAD,FE,"Arrendamientos Aereos, S.A. d/b/a flytrip - Panama",Panabear
AAE,CT,Air Atlanta Europe Limited - Malta,Euroviking
AAG,JI,Armenian Airlines LLC - Armenia,Apriocot
AAH,KH,"Aeko Kula, Inc d/b/a Aloha Air Cargo - United States of America",Aloha
AAI,,Air Aurora - United States of America,Borealis
AAJ,,Alfa Airlines SD Co. Ltd. - Sudan,Alfa Sudan
AAK,,"Alaska Island Air, Inc. - United States of America",Alaska Island
AAL,AA,American Airlines - United States of America,American
AAM,,"Aim Air - Moldova, Republic of",Aim Air
AAN,,CTR Atmospherica Aviation A.S. - Czech Republic,Atmojet
AAO,,Alpha Aviation s.r.o. - Czech Republic,Hero
AAP,,Arabasco Air Services - Saudi Arabia,Arabasco
AAR,OZ,"Asiana Airlines, Inc. - Korea, Republic of",Asiana
AAT,,Congo Falcon - Congo,Africa Airlines
AAU,,Aeropa S.r.l. - Italy,
AAV,,Astro Air International Inc. d/b/a Pan Pacific Airlines - Philippines,Astro-Phil
AAX,,Advance Aviation Co. Ltd. - Thailand,Advance Aviation
AAY,G4,Allegiant Air LLC - United States of America,Allegiant
AAZ,,Aeolus Air Limited - The Gambia,Aeolus
ABA,,Aero-Beta GmbH & Co. KG. - Germany,Aerobeta
ABC,CR,UBM Aviation - OAG - United Kingdom,
ABD,CC,Flugfélagið Atlanta ehf - Iceland,Atlanta
ABE,,Aban Air - Iran,Aban
ABF,,Scanwings Oy - Finland,Skywings
ABH,,"Hokuriku-Koukuu Co., Ltd - Japan",
ABI,,"Alba-Air Aviacion, S.L. - Spain",Airalabacete
ABJ,E4,ATA - Aerotaxi Abaete Ltda - Brazil,Abaete
ABK,,Airbus Canada - Canada,Airbus Canuck
ABL,BX,"Air Busan - Korea, Republic of",Air Busan
ABM,,Aero Albatros - Spain,Albatros Espana
ABN,ZB,Air Albania Shpk - Albania,Air Albania
ABP,,ABS Jets - Czech Republic,Bair
ABQ,PA,M/S Airblue (PVT) Ltd - Pakistan,Pakblue
ABR,5H,ASL Airlines (Ireland) Limited - Ireland,Contract
ABS,J7,Afrijet Business Services d/b/a FlyGabon - Gabon,
ABT,PL,Amazone Airlines - Benin,Benways
ABU,,"Eagle Aviaton Services, Inc - United States of America",
ABV,,ASL Airlines UK Limited - United Kingdom,Cargoblue
ABW,RU,AirBridge Cargo Airlines Limited - Russian Federation,AirBridge Cargo
ABX,GB,"ABX Air, Inc. - United States of America",Abex
ABY,G9,Air Arabia PJSC - United Arab Emirates,Arabia
ABZ,,Air Ambulance Services Limited - Bahamas,Island Lifeflight
ACA,AC,Air Canada Inc. - Canada,Air Canada
ACC,,Airspeed Charter Ltd. - Jamaica,
ACD,,Academy Airlines - United States of America,Academy
ACE,,"Aero Charter Elite Services, LLC d/b/a Aviation Aces - United States of America",Sky Ace
ACF,,Centro de Formacion Aeronautica de Canarias - Spain,Forcan
ACG,,AOSAC - Airline Operations Support and Aviation Consultant - Canada,
ACH,,Africa's Connection STP - Sao Tome And Principe,
